Date,Code,Gross_num,PctGrossVsIssuedPct_num
2025-12-23,AGL,130640,0.019418883288071436
2025-12-23,BWP,126165,0.017416997422347882
2025-12-23,FLT,124359,0.05818938601061727
2025-12-23,TUA,123189,0.022463504764332135
2025-12-23,INA,120251,0.029503419453454298
2025-12-23,KSN,119212,0.01418825390459499
2025-12-23,EMR,117889,0.017846833743190783
2025-12-23,SGR,117630,0.0017725498145628093
2025-12-23,ELV,113789,0.06719990397870806
2025-12-23,MIN,113088,0.05722155586527627
2025-12-23,KLS,112524,0.041430821239335024
2025-12-23,DOW,112513,0.016922082301895545
2025-12-23,CVN,111780,0.006247879917102874
2025-12-23,WPR,111166,0.017025598765616982
2025-12-23,EML,109179,0.028158865324028254
2025-12-23,NUF,104580,0.027239654669317
2025-12-23,NAG,104215,0.010893299703456401
2025-12-23,ARF,102909,0.025503833422518316
2025-12-23,IVV,101750,0.053992878713400694
2025-12-23,FXG,101559,0.020638463159550716
2025-12-23,ASX,101233,0.05210154378995203
2025-12-23,BHM,101059,0.06201304725452618
2025-12-23,SVM,100497,0.015534238334168733
2025-12-23,AJL,100000,0.007268870119487069
2025-12-23,STM,100000,0.0014726505311998173
2025-12-23,SS1,97738,0.07375566537581801
2025-12-23,APZ,95882,0.04211530873903022
2025-12-23,APX,95067,0.035791864496813326
2025-12-23,PMV,94478,0.059093070541569565
2025-12-23,BXB,94414,0.006951033623500028
2025-12-23,DBI,93924,0.018945393775271456
2025-12-23,CTT,93847,0.024616367162767678
2025-12-23,COI,93740,0.00783491861580675
2025-12-23,NXL,93023,0.02779650440378409
2025-12-23,SNT,91600,0.00561137252949944
2025-12-23,ORI,91510,0.019595032119964235
2025-12-23,AIA,91228,0.005381771390137183
2025-12-23,IVZ,89955,0.005609969379389546
2025-12-23,VGS,89019,0.09828898832973533
2025-12-23,SMR,88891,0.009861529289498598
2025-12-23,BVS,88792,0.019806380761007183
2025-12-23,HLS,88406,0.012174907229750521
2025-12-23,TNE,87717,0.026794572176072347
2025-12-23,ASL,87524,0.04206051080434538
2025-12-23,COB,87447,0.0150687043017788
2025-12-23,SPK,87323,0.004619997419080447
2025-12-23,FEX,87272,0.011714944011972117
2025-12-23,CNI,86188,0.010382946442949677
2025-12-23,AW1,85800,0.008517415386012625
2025-12-23,NWH,84926,0.018483592861177907
2025-12-23,AI1,84880,0.011697492545453152
2025-12-23,MQG,84598,0.022196135752938995
2025-12-23,COL,83101,0.006191685695874585
2025-12-23,NWL,83015,0.03383244907012116
2025-12-23,DXB,82881,0.013804371261314034
2025-12-23,MGH,81943,0.02252448543756818
2025-12-23,SRG,79332,0.012660865745633212
2025-12-23,RXL,79308,0.00831221105769995
2025-12-23,RPL,78060,0.021131580716953438
2025-12-23,SGH,77838,0.01912490185735898
2025-12-23,KGN,77495,0.07754154819137929
2025-12-23,MGX,77469,0.006562785003704607
2025-12-23,MVF,75852,0.019467458300186914
2025-12-23,JBH,75153,0.06873709281655078
2025-12-23,TDO,75000,0.017906719186707946
2025-12-23,TAM,73725,0.006273949904900024
2025-12-23,VTX,73384,0.025612416904182592
2025-12-23,VR1,72250,0.0032147344754864748
2025-12-23,NHF,70261,0.014399117624137764
2025-12-23,GRR,69563,0.006010600018837355
2025-12-23,NAN,69045,0.022761135196000423
